_id,id,pubDate,title,summary,infoSource
5e77e8d7cf364dfb25a410c0,12849,2020/3/23,"President Trump outlines National Guard activations for New York, California and Washington","President Donald Trump announced Sunday he has activated the National Guard in New York, California and Washington, the state's hardest hit by the coronavirus outbreak. ",CNN
5e77e689cf364dfb25a410bf,12847,2020/3/23,Harrogate hospital in urgent appeal for volunteers,The hospital says a number of existing volunteers have stood down during the coronavirus outbreak.,BBC
5e77e648cf364dfb25a410be,12847,2020/3/23,Hospital in urgent appeal for volunteers,The hospital says a number of existing volunteers have stood down during the coronavirus outbreak.,BBC
5e77e478cf364dfb25a410bb,12846,2020/3/23,Coronavirus: Somerset tourism boss pleads with visitors to stay away,The boss of Somerset's tourism organisation has pleaded with visitors to stay away from the county.,BBC
5e77e436cf364dfb25a410b7,12846,2020/3/23,Tourism boss in plea to visitors to avoid Somerset,"John Tuner, from Visit Somerset, says ""people are dying"" amid the coronavirus outbreak.",BBC
5e77e1e9cf364dfb25a410b2,12845,2020/3/23,Delaware announces 'stay-at-home' order that will last into May,"Delaware Gov. John Carney issued a statewide ""stay-at-home"" order that will go into effect at 8 a.m. Tuesday and will remain in effect until May 15 or until the ""public health threat is eliminated."" ",CNN
5e77dab1cf364dfb25a410a4,12840,2020/3/23,Cuba will not allow tourists to visit starting Tuesday,"The Cuban government announced a series of new measures to stem the spread of the coronavirus on the island, where 20 percent of the population is 60 or older. ",CNN
5e77dab1cf364dfb25a410a3,12841,2020/3/23,Czech Republic reports its first coronavirus death,"The?Czech?Republic reported its first coronavirus death Sunday, according to?Czech Deputy Health Minister Roman Prymula.?The victim was a 95-year-old male, the deputy health minister said.",CNN
5e77da70cf364dfb25a410a2,12841,2020/3/23,Czech Republic reports its first coronavirus death,"The?Czech?Republic reported its first coronavirus death Sunday, according to?Czech Deputy Health Minister Roman Prymula.?The victim was a 95-year-old male, the deputy health minister said.",CNN
5e77d5c9cf364dfb25a41009,12837,2020/3/23,Germany bans groups of more than two to curb virus,The country expands restrictions on social interaction as Chancellor Merkel goes into quarantine.,BBC
5e77d588cf364dfb25a40fff,12837,2020/3/23,Germany bans groups of more than two to curb virus,The country expands restrictions on social interaction as Chancellor Merkel goes into quarantine.,BBC
5e77d588cf364dfb25a40ffe,12838,2020/3/23,French Parliament adopts state of emergency law,The French Parliament adopted the state of emergency law Sunday night. The law gives a legal framework for the measures that have been put into place by the French government to mitigate the coronavirus crisis.,CNN
5e77d546cf364dfb25a40ffd,12835,2020/3/23,McDonalds restaurants to close across UK and Ireland,All McDonalds restaurants across the UK and Ireland will close by 19:00 GMT on Monday 23 March.,BBC
